query1,0.02,0.02,0.02
query2,0.09,0.02,0.02
query3,0.48,0.03,0.03
query4,4.67,0.03,0.04
query5,0.17,0.07,0.08
query6,4.02,0.19,0.16
query7,0.02,0.01,0.02
query8,0.03,0.03,0.02
query9,0.78,0.10,0.10
query10,0.10,0.11,0.12
query11,0.21,0.03,0.03
query12,0.54,0.03,0.05
query13,0.18,0.17,0.20
query14,0.19,0.19,0.21
query15,0.23,0.18,0.18
query16,0.11,0.11,0.12
query17,0.26,0.26,0.27
query18,0.07,0.06,0.06
query19,1.61,0.46,0.44
query20,0.02,0.00,0.00
query21,23.56,0.09,0.09
query22,0.05,0.05,0.06
query23,21.71,0.09,0.08
query24,0.58,0.04,0.04
query25,0.02,0.03,0.02
query26,0.05,0.05,0.04
query27,0.03,0.02,0.02
query28,0.25,0.21,0.21
query29,19.76,0.92,0.91
query30,0.08,0.06,0.04
query31,2.25,0.09,0.09
query32,6.50,0.12,0.13
query33,0.74,0.72,0.69
query34,0.95,0.90,0.90
query35,0.94,0.94,0.93
query36,0.15,0.14,0.15
query37,0.10,0.03,0.03
query38,0.06,0.03,0.03
query39,0.07,0.03,0.02
query40,0.08,0.06,0.07
query41,0.35,0.02,0.03
query42,0.32,0.03,0.03
query43,0.02,0.03,0.02
